,Coefficients importance
CNTSCHID,1.6056236109498097
CNTSTUID,0.0
OECD,-4.1204390972599185
ADMINMODE,-3.0280000582033195
Option_CT,-2.1095661631189953
Option_FL,-2.414189289329102
Option_ICTQ,-2.9571090326710157
Option_WBQ,-0.0
Option_PQ,3.3953018104432884
Option_TQ,-0.49671145313409376
Option_UH,0.2959794399368711
ST001D01T,1.5828806141433622
ST003D02T,0.09877545099270112
ST003D03T,0.0
ST004D01T,-6.928267191141626
ST250Q01JA,1.2733469343681176
ST250Q02JA,-0.5608249877838053
ST250Q03JA,-0.3709515920693424
ST250Q04JA,-0.4319497658487996
ST250Q05JA,-0.8901895393124374
ST251Q01JA,1.138995652603135
ST251Q02JA,2.54433285266843
ST251Q03JA,1.9989887368967534
ST251Q04JA,-2.457468955391133
ST251Q06JA,-3.729481722636867
ST251Q07JA,-0.0
ST253Q01JA,-9.585149180752436
ST254Q01JA,2.7873379234153823
ST254Q02JA,1.133176147902848
ST254Q03JA,-2.652278699998417
ST254Q04JA,1.1275248590893265
ST254Q05JA,1.3478750018277625
ST254Q06JA,-2.300503576568501
ST255Q01JA,2.1354933497882604
ST256Q01JA,3.8780389404563365
ST256Q02JA,-0.3877437069641967
ST256Q03JA,-4.503208065414277
ST256Q06JA,-2.811401140085003
ST256Q07JA,3.404639038091283
ST256Q08JA,1.0537613963839132
ST256Q09JA,1.0341591326922297
ST256Q10JA,-1.1937442141379522
ST230Q01JA,3.5915564245477585
ST005Q01JA,1.2330342874061622
ST006Q01JA,2.386759356361949
ST006Q02JA,0.04463830232374654
ST006Q03JA,-1.0191674514279083
ST006Q04JA,-0.0
ST006Q05JA,1.5484454688565696
ST007Q01JA,0.812034697548909
ST008Q01JA,1.624759795302074
ST008Q02JA,0.11312535152665944
ST008Q03JA,-1.2819896237103348
ST008Q04JA,0.0
ST008Q05JA,0.9130615297831042
ST258Q01JA,6.682361119776819
ST259Q01JA,-6.190795822253711
ST259Q02JA,0.16467188782718647
ST019AQ01T,-0.15467884729856657
ST019BQ01T,1.0675402756686472
ST019CQ01T,-0.0
ST021Q01TA,0.0
ST022Q01TA,-2.663388676724199
ST226Q01JA,0.49957375997887105
ST125Q01NA,-0.0
ST126Q01TA,-1.2673719522814677
ST127Q01TA,-1.3528581329977074
ST127Q02TA,0.839477536683457
ST127Q03TA,3.9382012412804306
ST260Q01JA,1.4045534775013615
ST260Q02JA,3.2842319587925317
ST260Q03JA,0.20534688601656145
ST261Q01JA,-0.8156486594433342
ST261Q02JA,-0.0
ST261Q03JA,-0.0
ST261Q04JA,-0.0
ST261Q05JA,-0.0
ST261Q06JA,0.0
ST261Q07JA,-0.0
ST261Q08JA,-2.38705044642947
ST261Q09JA,-0.0
ST261Q10JA,-0.0
ST261Q11JA,-1.621171814930651
ST062Q01TA,0.02351410958252506
ST062Q02TA,1.2727278464452996
ST062Q03TA,0.0
ST267Q01JA,-0.4770457665119961
ST267Q02JA,0.0131598665932562
ST267Q03JA,-0.0
ST267Q04JA,-0.20247114434410268
ST267Q05JA,0.19374684608762455
ST267Q06JA,-0.2722111647335729
ST267Q07JA,0.058828450681729885
ST267Q08JA,0.252856729992934
ST034Q01TA,1.0612106836673105
ST034Q02TA,0.9814376228628023
ST034Q03TA,0.45933304336425385
ST034Q04TA,0.9950977219170021
ST034Q05TA,0.8294856722471569
ST034Q06TA,0.8969134386298732
ST038Q03NA,-0.527153975992942
ST038Q04NA,-2.0485635340786286
ST038Q05NA,0.5423170539582344
ST038Q06NA,-0.7593077858541728
ST038Q07NA,-0.0
ST038Q08NA,1.54892215802647
ST038Q09JA,1.4601776050460131
ST038Q10JA,2.391692036245975
ST038Q11JA,0.0
ST265Q01JA,-1.1126095976153454
ST265Q02JA,0.0
ST265Q03JA,-1.3325772012438897
ST265Q04JA,-0.14009187914517615
ST266Q01JA,-1.328532658984443
ST266Q02JA,0.0
ST266Q03JA,2.138241763434773
ST266Q04JA,-0.0
ST266Q05JA,-0.0
ST294Q01JA,3.72047577534668
ST294Q02JA,-4.475228438299924
ST294Q03JA,-2.2568981925878027
ST294Q04JA,-0.8405826293344919
ST294Q05JA,-4.936521076257957
ST295Q01JA,4.168565947636465
ST295Q02JA,2.1747519043876284
ST295Q03JA,0.0
ST295Q04JA,-1.9213095902560728
ST295Q05JA,0.0
ST326Q01JA,-0.29132592602379287
ST326Q02JA,-0.0
ST326Q03JA,0.5817667703645839
ST326Q04JA,-3.0757412638836743
ST326Q05JA,3.8057868075950814
ST326Q06JA,2.0771504454209007
ST326Q07JA,0.9424377945801374
ST326Q08JA,0.7989565075331096
ST326Q09JA,0.0
ST326Q10JA,-0.7104797576763597
ST326Q11JA,0.6270790234298909
ST326Q12JA,0.30672540536495113
ST322Q01JA,-1.6115785737418158
ST322Q02JA,-1.0686313209429996
ST322Q03JA,-0.6929691535946741
ST322Q04JA,-0.0
ST322Q06JA,0.026409243593728017
ST322Q07JA,0.03476085255067252
ST307Q01JA,0.0
ST307Q02JA,-0.1416263659569804
ST307Q03JA,0.0911625551958879
ST307Q04JA,0.0
ST307Q05JA,0.021904905124745036
ST307Q06JA,0.0
ST307Q07JA,-0.3414016659786455
ST307Q08JA,-0.33535939559197986
ST307Q09JA,0.15988658878485734
ST307Q10JA,-0.1837851513559606
ST309Q01JA,-0.0
ST309Q02JA,-0.4630451221245336
ST309Q03JA,0.04530812132068909
ST309Q04JA,-0.0
ST309Q05JA,0.8331775975523102
ST309Q06JA,0.13291088456948139
ST309Q07JA,0.3794220556964303
ST309Q08JA,0.32213573388175265
ST309Q09JA,0.6796976044441024
ST309Q10JA,0.5640529199318836
ST301Q01JA,-0.955695692325075
ST301Q02JA,-0.13299013852167538
ST301Q03JA,-0.09733750962398717
ST301Q04JA,-0.2514552276365596
ST301Q05JA,-0.0
ST301Q06JA,-0.30352047595704224
ST301Q07JA,-0.328113408289726
ST301Q08JA,0.026763675822307844
ST301Q09JA,-0.4582021591533177
ST301Q10JA,-0.19414413986113582
ST343Q01JA,0.27064254972103163
ST343Q02JA,0.0
ST343Q03JA,0.24570507963412508
ST343Q04JA,0.07098736549197365
ST343Q05JA,0.0
ST343Q06JA,0.49483523481178227
ST343Q07JA,-0.36709876717188106
ST343Q08JA,0.7286841969571789
ST343Q09JA,0.1262713277657908
